"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,142846426,9,
2020,146997503,1,
2020,147000421,10,
2020,147005132,10,
2020,142846130,17,
2020,142846019,1,
2020,147002579,10,
2020,147197665,1,
2020,147200770,3,
2020,139663828,9,
2020,142847077,10,
2020,142846326,9,
2020,142848172,1,
2020,142848217,9,
2020,146997292,9,
2020,147200948,1,
2020,147001767,10,
2020,142846302,1,
2020,147002299,10,
2020,147001694,6,
2020,137577403,1,
2020,137577241,9,
2020,137572400,6,
2020,135770930,6,
2020,142849268,10,
2020,146997406,6,
2020,147005331,9,
2020,147001229,10,
2020,147004480,4,
2020,147001201,1,
2020,147005401,1,
2020,147004838,10,
2020,147001213,10,
2020,148938663,9,
2020,142847030,1,
2020,148938597,10,
2020,137577141,9,
2020,134457622,1,
2020,139664437,10,
2020,139664649,1,
2020,135771101,1,
2020,136551592,10,
2020,136552060,1,
2020,136552081,10,
2020,142848154,10,
2020,142848482,1,
2020,142846140,10,
2020,146997265,10,
2020,142848611,10,
2020,149050923,1,
2020,147001452,9,
2020,142846204,1,
2020,149046924,10,
2020,147005396,10,
2020,142846043,1,
2020,142848171,1,
2020,147003283,1,
2020,142846212,10,
2020,147201158,9,
2020,142846348,1,
2020,137572746,10,
2020,137577427,6,
2020,136551297,1,
2020,137577153,1,
2020,137577389,10,
2020,135770955,1,
2020,147003341,10,
2020,147001241,10,
2020,147003599,10,
2020,147003515,10,
2020,147001681,10,
2020,147005439,1,
2020,147003036,9,
2020,147197687,10,
2020,147000538,10,
2020,148938897,3,
2020,136551433,10,
2020,139660216,1,
2020,148938608,1,
2020,148938676,10,
2020,139664671,9,
2020,137572440,1,
2020,137572458,10,
2020,134457106,9,
2020,139663719,6,
2020,139663839,10,
2020,135771173,10,
2020,135771310,1,
2020,135770460,10,
2020,136551730,1,
2020,136552017,10,
2020,142848343,6,
2020,142848364,9,
2020,147001117,10,
2020,147197838,10,
2020,142847076,1,
2020,149047160,1,
2020,147002380,10,
2020,142846084,1,
2020,142846075,1,
2020,147201206,9,
2020,147003266,1,
2020,147001914,10,
2020,148938655,9,
2020,137577444,10,
2020,137577055,1,
2020,139660466,10,
2020,142849109,10,
2020,142849031,10,
2020,147003195,1,
2020,147002123,10,
2020,147002478,9,
2020,147001098,10,
2020,147004484,9,
2020,147000859,1,
2020,147004212,10,
2020,147005441,10,
2020,147201065,9,
2020,147200690,1,
2020,147004605,1,
2020,147004674,1,
2020,148938894,3,
2020,139660210,1,
2020,148938600,10,
2020,139660529,9,
2020,137572797,10,
2020,139659964,9,
2020,134457674,10,
2020,139660248,10,
2020,139664116,1,
2020,135770979,1,
2020,135771235,9,
2020,135771306,1,
2020,139659952,10,
2020,136551714,1,
2020,148938520,10,
2020,147004562,1,
2020,147001394,2,
2020,142849066,1,
2020,142847024,10,
2020,147000828,1,
2020,147002096,10,
2020,142848775,10,
2020,147200861,1,
2020,142848289,10,
2020,142846781,4,
2020,142846164,1,
2020,146997854,10,
2020,147001598,10,
2020,147200944,1,
2020,147004688,9,
2020,147004687,9,
2020,147001860,9,
2020,147004136,1,
2020,137572781,1,
2020,137577007,9,
2020,137572754,2,
2020,139659552,10,
2020,147004916,10,
2020,147003654,10,
2020,147003653,10,
2020,147001585,1,
2020,146997604,10,
2020,148938551,10,
2020,148938689,10,
2020,136551434,10,
2020,139659409,1,
2020,139659555,10,
2020,139660714,10,
2020,139660692,10,
2020,137576958,1,
2020,139663759,1,
2020,139659663,10,
2020,134457330,1,
2020,139660412,5,
2020,139663806,1,
2020,139659660,1,
2020,135771258,1,
2020,136551589,9,
2020,147001614,10,
2020,149050956,9,
2020,147000798,10,
2020,147004268,6,
2020,142848158,10,
2020,142848508,1,
2020,142846008,10,
2020,142849046,1,
2020,142848286,10,
2020,142846775,10,
2020,142846032,10,
2020,142846755,9,
2020,142847244,10,
2020,142847071,10,
2020,149050744,10,
2020,142848874,6,
2020,142846200,6,
2020,142846738,9,
2020,147000275,10,
2020,142848808,1,
2020,142847044,1,
2020,147003973,1,
2020,147001507,10,
2020,147200981,1,
2020,147003884,10,
2020,147004903,6,
2020,147004470,1,
2020,147202908,10,
2020,147003901,10,
2020,148938502,10,
2020,146997885,10,
2020,142846300,1,
2020,142846556,9,
2020,139659576,9,
2020,137572779,9,
2020,137577066,10,
2020,139660748,10,
2020,134457040,10,
2020,134457114,1,
2020,139664161,1,
2020,136553831,10,
2020,147001705,6,
2020,147004856,1,
2020,142846155,1,
2020,142846430,9,
2020,147002352,1,
2020,147001344,10,
2020,146997326,10,
2020,142848409,1,
2020,142848323,1,
2020,142848166,10,
2020,142848164,10,
2020,147002041,1,
2020,147001324,1,
2020,147004343,1,
2020,147000366,10,
2020,147001244,10,
2020,147003733,10,
2020,147003739,10,
2020,149051258,6,
2020,136551431,10,
2020,139660570,1,
2020,142847172,10,
2020,134462961,6,
2020,139660519,9,
2020,139660632,10,
2020,139663748,1,
2020,137572381,1,
2020,137577333,6,
2020,137577333,1,
2020,137577353,10,
2020,137572594,1,
2020,137572861,1,
2020,137577271,6,
2020,134457471,1,
2020,135770461,10,
2020,136551603,10,
2020,136551712,1,
2020,136551927,10,
2020,136551981,10,
2020,136551992,1,
2020,136552101,1,
2020,136552116,10,
2020,147004418,10,
2020,142845969,1,
2020,142846063,1,
2020,142849064,1,
2020,146997268,9,
2020,142846050,1,
2020,142846651,10,
2020,142847183,1,
2020,142848350,10,
2020,147202972,6,
2020,147000893,10,
2020,137572532,1,
2020,146997407,6,
2020,147004845,10,
2020,147003806,10,
2020,147004158,10,
2020,147002109,9,
2020,147197623,10,
2020,147004930,1,
2020,142847118,9,
2020,135766633,8,
2020,139664660,9,
2020,139664060,1,
2020,139660581,1,
2020,137577004,1,
2020,137576953,1,
2020,139659474,6,
2020,137572812,9,
2020,147000286,10,
2020,134457030,10,
2020,134457071,1,
2020,139659365,1,
2020,136551471,10,
2020,136552207,1,
2020,136552243,10,
2020,148938467,9,
2020,147003577,9,
2020,147003821,1,
2020,147003938,1,
2020,147001318,10,
2020,147003795,10,
2020,142845988,10,
2020,147002570,10,
2020,142848221,10,
2020,147000844,1,
2020,142848144,10,
2020,147005073,6,
2020,142848218,9,
2020,142846060,1,
2020,147002005,9,
2020,147003259,9,
2020,147004686,9,
2020,148938926,10,
2020,137577279,1,
2020,137577151,9,
2020,139664181,1,
2020,142846695,1,
2020,146997312,9,
2020,147004493,2,
2020,147004690,2,
2020,147200883,6,
2020,147001799,1,
2020,147005002,10,
2020,146997504,6,
2020,139660525,9,
2020,137576943,10,
2020,139664626,1,
2020,137572767,10,
2020,139664080,10,
2020,136551602,10,
2020,136551823,1,
2020,147000392,10,
2020,142848139,10,
2020,142848141,10,
2020,142846384,9,
2020,142846658,9,
2020,142848846,1,
2020,142846364,10,
2020,142848849,10,
2020,147000553,10,
2020,147003523,1,
2020,147001740,9,
2020,137572481,8,
2020,135770709,1,
2020,139664678,10,
2020,147001242,10,
2020,142846899,10,
2020,147203050,1,
2020,147004844,10,
2020,146997285,10,
2020,147002185,10,
2020,147001753,1,
2020,148938895,3,
2020,147003054,1,
2020,149050797,9,
2020,139660637,10,
2020,139659464,1,
2020,139659753,6,
2020,137577236,10,
2020,142846225,1,
2020,134457777,9,
2020,139660472,1,
2020,136553616,1,
2020,135771222,1,
2020,136552071,1,
2020,147003891,1,
2020,142848626,10,
2020,142846813,1,
2020,147004190,1,
2020,147005174,1,
2020,149047184,2,
2020,142846056,10,
2020,142848615,10,
2020,142846189,1,
2020,139663848,10,
2020,139664575,10,
2020,147000395,1,
2020,146997873,10,
2020,147000684,1,
2020,147201204,10,
2020,137577341,2,
2020,135770748,1,
2020,139663986,1,
2020,142847222,10,
2020,147004481,9,
2020,147000947,10,
2020,147003400,1,
2020,147005282,10,
2020,146997376,9,
2020,147005233,10,
2020,147004428,10,
2020,147001897,9,
2020,142848247,6,
2020,139664017,9,
2020,139660402,10,
2020,139659345,1,
2020,139664471,10,
2020,137572483,9,
2020,139659662,10,
2020,139663908,10,
2020,142846503,9,
2020,139660419,5,
2020,135771171,10,
2020,136551528,8,
2020,136551352,1,
2020,136551803,1,
2020,147000895,6,
2020,147000937,10,
2020,147000343,10,
2020,142846979,10,
2020,142846934,10,
2020,142846789,1,
2020,147003253,10,
2020,142848584,1,
2020,147002405,1,
2020,147003957,9,
2020,149050874,3,
2020,142848201,10,
2020,147002296,10,
2020,137572469,10,
2020,137572807,1,
2020,137577135,9,
2020,139664570,10,
2020,142849132,1,
2020,147004059,10,
2020,147005061,10,
2020,147005471,1,
2020,147005329,10,
2020,147004483,4,
2020,147005438,1,
2020,146997267,1,
2020,147005219,10,
2020,147001497,10,
2020,147004132,1,
2020,147004628,10,
2020,146997454,1,
2020,142847225,1,
2020,139659532,9,
2020,137572374,1,
2020,137572629,10,
2020,147001128,9,
2020,134457042,10,
2020,134457211,9,
2020,134457538,10,
2020,134457675,10,
2020,147002075,10,
2020,142846985,10,
2020,142848776,10,
2020,142848865,10,
2020,147197664,1,
2020,142846171,10,
2020,142848504,1,
2020,147000564,1,
2020,147003348,9,
2020,147001352,1,
2020,142848317,10,
2020,142846475,10,
2020,147197475,10,
2020,135770928,10,
2020,139660549,1,
2020,147002206,10,
2020,147003508,9,
2020,147003740,10,
2020,147004958,10,
2020,148938506,10,
2020,142846215,1,
2020,142848367,10,
2020,142848938,10,
2020,139664453,10,
2020,148938941,2,
2020,139659791,9,
2020,139663780,1,
2020,139659478,10,
2020,134456968,10,
2020,134457037,1,
2020,134457173,1,
2020,134457189,10,
2020,139664731,1,
2020,135771082,1,
2020,139660144,1,
2020,147000796,10,
2020,142848337,6,
2020,142848857,1,
2020,147197545,10,
2020,139660555,1,
2020,142849071,10,
2020,142846971,10,
2020,149050740,10,
2020,147000880,1,
2020,142846482,4,
2020,142847127,10,
2020,142846041,1,
2020,147003505,10,
2020,142849153,10,
2020,147005270,1,
2020,147003389,10,
2020,147005281,10,
2020,147004292,10,
2020,147005370,1,
2020,148938508,6,
2020,149050895,1,
2020,142846900,10,
2020,139660817,1,
2020,139663733,6,
2020,139659448,1,
2020,139664411,6,
2020,137572540,9,
2020,134456985,1,
2020,134457043,10,
2020,134457158,1,
2020,134457252,10,
2020,134457830,10,
2020,139663725,1,
2020,136553810,10,
2020,139659949,10,
2020,136551634,10,
2020,147004308,10,
2020,147003794,10,
2020,147004564,1,
2020,147000374,10,
2020,147001336,10,
2020,147003403,2,
2020,142846533,1,
2020,149050741,10,
2020,142848296,10,
2020,142846208,10,
2020,147001913,10,
2020,147001751,10,
2020,148938805,10,
2020,146997344,10,
2020,137577438,10,
2020,137577295,10,
2020,142849152,10,
2020,142847043,1,
2020,147003463,1,
2020,147003783,1,
2020,147003637,1,
2020,147004478,10,
2020,147005261,6,
2020,147004575,10,
2020,147004671,9,
2020,147005007,1,
2020,147005234,10,
2020,147004911,9,
2020,139659437,10,
2020,139659711,10,
2020,137576933,9,
2020,139664131,1,
2020,135771181,1,
2020,147002267,9,
2020,142848306,1,
2020,142848282,1,
2020,139659499,1,
2020,142847221,10,
2020,142848345,1,
2020,142846181,1,
2020,147200970,1,
2020,142849202,10,
2020,146997568,10,
2020,147003257,9,
2020,147002092,1,
2020,147005235,9,
2020,148938711,10,
2020,147002495,9,
2020,137572503,1,
2020,146997888,10,
2020,147003206,10,
2020,147003501,10,
2020,147000702,10,
2020,147000304,4,
2020,147005079,10,
2020,147002355,10,
2020,146997427,1,
2020,139660746,10,
2020,139659666,9,
2020,139659480,10,
2020,139660421,5,
2020,139659632,1,
2020,139664486,1,
2020,136551585,9,
2020,136551752,10,
2020,147005001,10,
2020,147197456,1,
2020,142845987,10,
2020,142846226,10,
2020,142846139,10,
2020,147001291,1,
2020,147197771,1,
2020,142849159,10,
2020,149047123,9,
2020,142846502,10,
2020,142848472,10,
2020,147197758,1,
2020,146997881,10,
2020,147004301,9,
2020,147002297,10,
2020,147002486,10,
2020,142846921,10,
2020,147000365,9,
2020,147005435,9,
2020,147003519,10,
2020,147004360,6,
2020,146997279,1,
2020,147004914,10,
2020,147000716,1,
2020,147004585,6,
2020,147000975,1,
2020,147004961,1,
2020,139659902,1,
2020,139660783,1,
2020,148938587,9,
2020,139660005,10,
2020,137572790,10,
2020,137572479,6,
2020,137572796,10,
2020,134457470,1,
2020,134457761,1,
2020,147002163,10,
2020,142846234,10,
2020,142848612,10,
2020,147002569,10,
2020,142847026,10,
2020,147004898,10,
2020,147004017,1,
2020,147004948,10,
2020,142846257,10,
2020,142846887,10,
2020,147003613,1,
2020,142846642,1,
2020,147002548,2,
2020,147200942,1,
2020,147001677,1,
2020,147001119,6,
2020,147203051,10,
2020,137577382,10,
2020,137572390,6,
2020,136553786,1,
2020,135770929,10,
2020,139660240,10,
2020,147003727,10,
2020,147200692,10,
2020,147000920,1,
2020,147001134,1,
2020,147001136,1,
2020,147002044,9,
2020,147005037,1,
2020,147002504,6,
2020,147001896,9,
2020,146997687,10,
2020,147001003,1,
2020,134457683,10,
2020,139663841,10,
2020,135771081,1,
2020,136551702,1,
2020,136551922,10,
2020,136552008,1,
2020,136552186,9,
2020,147004490,1,
2020,149050866,1,
2020,142848475,9,
2020,147004336,10,
2020,147001448,10,
2020,142848954,10,
2020,147002535,10,
2020,142848586,1,
2020,142848333,1,
2020,142846481,10,
2020,137572507,10,
2020,139660662,1,
2020,142849094,10,
2020,142846908,10,
2020,142849020,10,
2020,147003531,1,
2020,147004851,1,
2020,147004842,10,
2020,147002487,10,
2020,146997600,10,
2020,148938900,3,
2020,139660727,1,
2020,139659885,1,
2020,139660703,8,
2020,147002076,10,
2020,136551601,1,
2020,147000675,10,
2020,147004313,10,
2020,147001395,1,
2020,147000648,1,
2020,142846966,1,
2020,149050743,10,
2020,149050739,10,
2020,142848971,1,
2020,147000313,10,
2020,137577306,10,
2020,135770713,1,
2020,147003819,1,
2020,147002125,10,
2020,147005041,10,
2020,147004216,10,
2020,146997282,10,
2020,148938649,10,
2020,148938890,3,
2020,149050729,9,
2020,142846776,10,
2020,142848937,10,
2020,139664603,10,
2020,139664510,10,
2020,139660864,9,
2020,139660688,1,
2020,139660316,6,
2020,147000744,10,
2020,134456847,9,
2020,134457100,2,
2020,134457717,10,
2020,134457718,10,
2020,139664470,10,
2020,136552076,10,
2020,136552192,6,
2020,149050806,10,
2020,147001321,10,
2020,147001890,1,
2020,142847258,6,
2020,142847031,1,
2020,147201210,9,
2020,147202916,1,
2020,147000486,9,
2020,139660399,1,
2020,147002456,9,
2020,142848165,10,
2020,142849155,1,
2020,142848294,10,
2020,142846495,10,
2020,142845990,6,
2020,142846905,10,
2020,146997544,10,
2020,146997298,10,
2020,142848230,1,
2020,147002298,10,
2020,137572467,10,
2020,137577050,9,
2020,139663738,1,
2020,139659401,1,
2020,147001021,1,
2020,147003509,9,
2020,147002056,1,
2020,147005450,1,
2020,147001178,10,
2020,146997457,1,
2020,148938501,10,
2020,148938659,9,
2020,139663926,1,
2020,142846910,1,
2020,148938601,10,
2020,139664641,1,
2020,139664692,10,
2020,137572547,10,
2020,137576955,9,
2020,137572460,10,
2020,139660252,1,
2020,139660138,1,
2020,139660774,10,
2020,135771287,6,
2020,135771303,10,
2020,136551762,1,
2020,148938466,9,
2020,147002461,10,
2020,147000659,1,
2020,147004629,6,
2020,142846646,10,
2020,142848370,10,
2020,142849195,10,
2020,142849133,10,
2020,142846338,1,
2020,142846865,1,
2020,142846961,10,
2020,149051093,9,
2020,142846011,3,
2020,146997546,10,
2020,147004984,10,
2020,137572421,10,
2020,135770881,10,
2020,147000928,10,
2020,147001258,6,
2020,147003518,10,
2020,147001297,1,
2020,147004110,10,
2020,147004630,10,
2020,142848935,10,
2020,148938639,3,
2020,139660685,4,
2020,139660861,9,
2020,137577036,1,
2020,137577127,10,
2020,134456962,6,
2020,134457291,10,
2020,134457676,10,
2020,139664572,1,
2020,135771218,10,
2020,136551636,10,
2020,136551394,1,
2020,142848318,1,
2020,146997308,10,
2020,142847022,10,
2020,147005227,10,
2020,149046869,3,
2020,142846768,1,
2020,142846349,1,
2020,142849286,1,
2020,147197636,1,
2020,146997550,9,
2020,147003247,6,
2020,147005445,9,
2020,147000921,1,
2020,147004506,9,
2020,137572466,6,
2020,137577018,10,
2020,139659363,10,
2020,139664431,10,
2020,142846750,1,
2020,147003204,10,
2020,147004601,1,
2020,147003885,10,
2020,147004382,1,
2020,147004210,9,
2020,147004968,1,
2020,146997283,10,
2020,147002993,10,
2020,136551316,10,
2020,142848474,10,
2020,139660658,1,
2020,139660962,10,
2020,137572491,1,
2020,137572675,10,
2020,139659385,1,
2020,147001127,9,
2020,139659339,1,
2020,136551456,1,
2020,136552244,10,
2020,142848349,10,
2020,142848222,10,
2020,147001851,10,
2020,147002344,10,
2020,147002599,10,
2020,147002580,10,
2020,142846875,9,
2020,142846940,1,
2020,142846058,2,
2020,142848242,10,
2020,142846092,10,
2020,147001110,10,
2020,147003052,10,
2020,146997405,9,
2020,147000887,1,
2020,137572534,1,
2020,135770666,1,
2020,147001848,1,
2020,147004121,4,
2020,147004810,6,
2020,147003578,10,
2020,147001498,10,
2020,147003417,9,
2020,148938650,9,
2020,148938665,9,
2020,149051183,1,
2020,139659580,10,
2020,134457191,1,
2020,134457191,6,
2020,139659609,3,
2020,135771236,9,
2020,139663813,1,
2020,136551789,1,
2020,136551795,10,
2020,147004953,9,
2020,147002345,10,
2020,147002577,10,
2020,147200946,10,
2020,147197851,1,
2020,142848953,6,
2020,142848187,6,
2020,142846074,1,
2020,142846585,10,
2020,142848869,1,
2020,147003903,10,
2020,147004902,1,
2020,147201062,9,
2020,146997880,10,
2020,147003353,1,
2020,147003353,9,
2020,147003764,6,
2020,137577387,10,
2020,146997669,9,
2020,147004608,1,
2020,147004139,9,
2020,147005427,1,
2020,147003396,1,
2020,147001361,9,
2020,147004627,10,
2020,139659935,10,
2020,148938578,9,
2020,139660822,10,
2020,139660450,6,
2020,137572674,10,
2020,134457119,1,
2020,139659366,10,
2020,136551591,10,
2020,136552079,10,
2020,136553739,1,
2020,142847065,9,
2020,142849135,1,
2020,147003626,1,
2020,147003761,10,
2020,147005226,10,
2020,142846143,10,
2020,142848863,10,
2020,147197601,3,
2020,142846917,1,
2020,147001730,10,
2020,147000922,1,
2020,147201205,10,
2020,137577247,9,
2020,135770621,6,
